,,,

Time,No.,Content,Hotness

2022-10-10 15:09:25,,,

,1,Thanksgiving,

,2,#WorldMentalHealthDay,459K

,3,Steve Simmons,"5,447"

,4,Columbus,

,5,#thankful,"4,861"

,6,#TrudeauDestroyingCanada,"7,523"

,7,Ukraine,1.52M

,8,Turkey,48.8K

,9,Kanye,406K

,10,Ian Cole,"5,847"

,11,Toronto,28.9K

,12,#HouseOfTheDragon,819K

,13,#ARSLIV,18.3K

,14,Nanos,"3,293"

,15,PayPal,209K

,16,Guy Nantel,"1,024"

,17,LTIR,"1,530"

,18,Jays,11.1K

,19,Reilly,"2,898"

,20,Justin Tucker,29.4K

,21,Mulroney,"2,376"

,22,Raiders,33.9K

,23,Arsenal,253K

,24,Matt Rhule,46.4K

,25,Daily Quordle 259,"1,123"

,26,Gausman,

,27,Madonna,37.2K

,28,Belarus,94.5K

,29,Rex Orange County,33.9K

,30,Slept,34.4K

,,,
Time,No.,Content,Hotness
2022-10-10 15:11:13,,,
,1,Thanksgiving,
,2,#WorldMentalHealthDay,460K
,3,Steve Simmons,"5,449"
,4,Columbus,
,5,#thankful,"4,861"
,6,#TrudeauDestroyingCanada,"7,538"
,7,Ukraine,1.56M
,8,Turkey,48.9K
,9,Kanye,406K
,10,Toronto,28.9K
,11,Ian Cole,"5,851"
,12,#HouseOfTheDragon,819K
,13,#ARSLIV,18.3K
,14,Nanos,"3,296"
,15,PayPal,209K
,16,Guy Nantel,"1,026"
,17,LTIR,"1,544"
,18,Jays,11.2K
,19,Viserys,341K
,20,Reilly,"2,917"
,21,Liverpool,158K
,22,Justin Tucker,29.4K
,23,Mulroney,"2,379"
,24,Raiders,34K
,25,Matt Rhule,46.5K
,26,Arsenal,253K
,27,Belarus,94.6K
,28,Daily Quordle 259,"1,124"
,29,Gausman,
,30,Madonna,37.4K
